site_order,Baetidae,Heptageniidae,Leptophlebiidae,Gammaridae,Oligochaeta,Chironomidae,Ceratopogonidae,Simuliidae,Tipulidae,Chloroperlidae,Leuctridae,Perlidae,Capniidae,Rhyacophilidae,Odontoceridae,Sericostomatidae,Elmidae,Dytiscidae,Planariidae,Glossiphoniidae,Hydrobiidae,Ascellidae,Physidae,Hygrobatidae,Limnesiidae,Hydryphantidae,Unionicola,Collembola,Corixidae
1,5,6,0,19,1,3,0,10,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,2,0,6,0,1,1,17,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,3,0,59,0,12,0,3,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0
4,24,5,0,0,0,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,57,1,0,2,1,4,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,39,5,0,12,5,7,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,2,0,10,1,2,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
8,1,3,1,10,1,1,0,0,1,0,0,0,0,1,1,0,6,1,0,0,0,1,0,1,1,0,0,0,0
9,0,2,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10,7,3,0,9,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,2,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
13,22,2,0,0,4,6,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
14,65,5,0,0,16,5,0,275,7,0,0,0,1,3,0,2,2,0,1,0,3,5,1,1,0,1,0,0,0
15,16,1,0,0,5,0,20,21,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,2,0,0,1,0,0
16,24,0,0,2,27,0,8,15,1,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,1,0,0